,datetime,open,high,low,close,count_buy,count_sell,size,delta,position,side
154200,2022-05-23 18:50:00,30096.0,30096.0,30096.0,30096.0,0,1,0.019,-1,-1.0,1
154201,2022-05-23 18:50:01,,,,,0,0,0.0,0,0.0,0
154202,2022-05-23 18:50:02,30094.5,30094.5,30094.0,30094.0,1,4,0.8540000000000001,-3,0.0,0
154203,2022-05-23 18:50:03,30093.5,30093.5,30090.0,30090.0,45,7,60.599,38,0.0,0
154204,2022-05-23 18:50:04,30090.0,30090.0,30090.0,30090.0,0,13,3.204,-13,0.0,0
154205,2022-05-23 18:50:05,30090.0,30090.0,30090.0,30090.0,0,2,1.05,-2,0.0,0
154206,2022-05-23 18:50:06,,,,,0,0,0.0,0,0.0,0
154207,2022-05-23 18:50:07,,,,,0,0,0.0,0,0.0,0
154208,2022-05-23 18:50:08,,,,,0,0,0.0,0,0.0,0
154209,2022-05-23 18:50:09,30090.5,30092.5,30090.5,30092.5,13,0,2.15,13,0.0,0
154210,2022-05-23 18:50:10,30099.0,30099.5,30099.0,30099.5,5,0,0.12,5,0.0,0
154211,2022-05-23 18:50:11,30100.0,30105.5,30100.0,30105.5,20,0,6.331,20,0.0,0
154212,2022-05-23 18:50:12,30108.0,30116.5,30108.0,30116.5,16,0,4.743,16,0.0,0
154213,2022-05-23 18:50:13,30116.5,30116.5,30116.5,30116.5,2,0,0.032,2,0.0,0
154214,2022-05-23 18:50:14,30116.5,30122.0,30116.5,30122.0,8,0,1.199,8,0.0,0
154215,2022-05-23 18:50:15,30122.0,30122.0,30121.5,30121.5,7,1,1.105,6,0.0,0
154216,2022-05-23 18:50:16,30122.0,30122.0,30122.0,30122.0,16,0,7.075,16,0.0,0
154217,2022-05-23 18:50:17,,,,,0,0,0.0,0,0.0,0
154218,2022-05-23 18:50:18,30121.5,30122.0,30121.5,30121.5,1,5,1.216,-4,0.0,0
154219,2022-05-23 18:50:19,30122.0,30122.0,30121.5,30121.5,2,1,0.063,1,0.0,0
